GEOID,NAME,year,estimate
18097340108,NA,2025,54410.32374906613
18097340108,NA,2026,59260.306262962506
18097340108,NA,2027,64542.38999280257
18097340108,NA,2028,70295.2964395773
18097340109,NA,2024,54668.80123415823
18097340109,NA,2025,54668.73055456216
18097340109,NA,2026,54668.751195687844
18097340109,NA,2027,54668.74516769189
18097340109,NA,2028,54668.746928096356
18097340110,NA,2024,49037.38130113736
18097340110,NA,2025,49657.30540493408
18097340110,NA,2026,52331.03901495941
18097340110,NA,2027,53135.77452344055
18097340110,NA,2028,55856.11427971536
18097340111,NA,2024,137922.50249686328
18097340111,NA,2025,149251.67573349728
18097340111,NA,2026,156724.79898556467
18097340111,NA,2027,161536.21645975637
18097340111,NA,2028,164587.72715401647
18097340112,NA,2024,52092.03499908182
18097340112,NA,2025,52135.23370138865
18097340112,NA,2026,52142.832089254625
18097340112,NA,2027,52144.16806259375
18097340112,NA,2028,52144.402941197746
18097340113,NA,2024,57395.328617983294
18097340113,NA,2025,57932.79249213283
18097340113,NA,2026,58198.50986407407
18097340113,NA,2027,58329.414625196376
18097340113,NA,2028,58393.79255191787
18097340114,NA,2024,85390.21026125415
18097340114,NA,2025,82104.59690253455
18097340114,NA,2026,88859.82032416119
18097340114,NA,2027,86174.31200042409
18097340114,NA,2028,92527.55968899615
18097340115,NA,2024,63762.08011645608
18097340115,NA,2025,71839.56605977372
18097340115,NA,2026,80699.33493709003
18097340115,NA,2027,90388.59069354263
18097340115,NA,2028,100954.63016673844
18097340201,NA,2024,72757.6132717082
18097340201,NA,2025,77187.00463727774
18097340201,NA,2026,82918.5783814526
18097340201,NA,2027,88511.71099352655
18097340201,NA,2028,94786.8693711972
18097340202,NA,2024,63743.33179990086
18097340202,NA,2025,70760.5914255763
18097340202,NA,2026,76150.96657686384
18097340202,NA,2027,80184.16110866203
18097340202,NA,2028,83146.53659888134
18097340300,NA,2024,37678.29319080271
18097340300,NA,2025,37739.20750401015
18097340300,NA,2026,37770.55397767898
18097340300,NA,2027,37786.67527334992
18097340300,NA,2028,37794.96382290357
18097340302,NA,2024,71173.75150718754
18097340302,NA,2025,86018.94614471128
18097340302,NA,2026,103147.47566658737
18097340302,NA,2027,124536.7170332744
18097340302,NA,2028,149465.76874237304
18097340400,NA,2024,44324.333486754345
18097340400,NA,2025,44322.309217355934
18097340400,NA,2026,44322.2153312165
18097340400,NA,2027,44322.210976653776
18097340400,NA,2028,44322.2107746832
18097340500,NA,2024,41315.541895953815
18097340500,NA,2025,41341.53949467029
18097340500,NA,2026,41339.121498274195
18097340500,NA,2027,41339.346322266065
18097340500,NA,2028,41339.32541764732
18097340600,NA,2024,47979.570944598905
18097340600,NA,2025,47828.24738044558
18097340600,NA,2026,47779.97012062137
18097340600,NA,2027,47764.54620483578
18097340600,NA,2028,47759.61624278376
18097340700,NA,2024,48577.460357309385
18097340700,NA,2025,51521.19414307373
18097340700,NA,2026,54446.96108480062
18097340700,NA,2027,57687.23060737119
18097340700,NA,2028,61007.858507425146
18097340800,NA,2024,71562.60375158569
18097340800,NA,2025,71842.7106266875
18097340800,NA,2026,71945.11842612969
18097340800,NA,2027,71982.49564666077
18097340800,NA,2028,71996.1293177627
18097340901,NA,2024,101082.54956983347
18097340901,NA,2025,99698.97608412016
18097340901,NA,2026,113331.98434414511
18097340901,NA,2027,113247.19582747942
18097340901,NA,2028,127217.99342136212
18097340902,NA,2024,38071.56015041525
18097340902,NA,2025,38106.89771088286
18097340902,NA,2026,38088.75993004971
18097340902,NA,2027,38098.0663647367
18097340902,NA,2028,38093.29042676906
18097340903,NA,2024,47270.509916281015
18097340903,NA,2025,47266.656987741764
18097340903,NA,2026,47268.93726194341
18097340903,NA,2027,47267.58769418707
18097340903,NA,2028,47268.38641593037
18097340904,NA,2024,55525.46337452903
18097340904,NA,2025,57011.736519954975
18097340904,NA,2026,60145.39094821937
18097340904,NA,2027,61789.272898278236
18097340904,NA,2028,65150.44006285591
18097341000,NA,2024,81732.3784362416
18097341000,NA,2025,81819.15048557872
18097341000,NA,2026,81830.48953427192
18097341000,NA,2027,81831.97050652314
18097341000,NA,2028,81832.16392040624
18097341100,NA,2024,38536.168573731884
18097341100,NA,2025,37892.39018347386
18097341100,NA,2026,37571.99729171527
18097341100,NA,2027,37411.53938503685
18097341100,NA,2028,37330.92444408482
18097341200,NA,2024,43603.56715574313
18097341200,NA,2025,43039.460203894894
18097341200,NA,2026,42682.33751522792
18097341200,NA,2027,42455.380101240065
18097341200,NA,2028,42310.78943734224
18097341600,NA,2024,22872.32458681236
18097341600,NA,2025,22438.366507337258
18097341600,NA,2026,22578.47020953163
18097341600,NA,2027,22532.847920002703
18097341600,NA,2028,22547.66273342482
18097341700,NA,2024,28440.737689220496
18097341700,NA,2025,28848.35448731326
18097341700,NA,2026,28562.745092987796
18097341700,NA,2027,28762.140152375767
18097341700,NA,2028,28622.580105154142
18097341701,NA,2024,47780.71660834587
18097341701,NA,2025,61401.28788563326
18097341701,NA,2026,68573.5238030269
18097341701,NA,2027,87671.7110287303
18097341701,NA,2028,98396.41569902665
18097341902,NA,2024,66507.95410733335
18097341902,NA,2025,66517.61826104515
18097341902,NA,2026,66518.53362293632
18097341902,NA,2027,66518.62031723926
18097341902,NA,2028,66518.62852803651
18097341903,NA,2024,44220.40671115065
18097341903,NA,2025,47802.60937469101
18097341903,NA,2026,49632.85623134057
18097341903,NA,2027,53297.25727322357
18097341903,NA,2028,55646.488463449045
18097341904,NA,2024,100090.06994040668
18097341904,NA,2025,130365.72887339864
18097341904,NA,2026,165247.2154493271
18097341904,NA,2027,205084.49386641313
18097341904,NA,2028,250382.05595025406
18097342000,NA,2024,69660.58279967115
18097342000,NA,2025,69658.94713058397
